,relationship,hematokrit,alp,indicator,etytr,hbver,weight,er-cv,leukocyty,hemoglobin,erytrocyty,trombocyty,smoker,alt,ssn,ast,residence,name,company,birthdate,sex,blood_group,address,race
424,separated,6.34342,85.50794,1.0,4.70735,5.87264,133.68939,37.66874,8.89755,6.71404,7.44632,6.67983,Y,2.97682,402-50-3974,49.80874,"1814 Joseph Mountains Suite 427
North Dawn, RI 36050",Yvonne Shaffer,Peters Inc,02/14/1976,F,B-,"09556 Desiree Port Suite 893
South Rebeccatown, NV 01958",White
425,divorced,9.30053,76.93728,1.0,4.69334,7.74038,83.06201,36.34753,2.19567,5.74132,6.92331,6.07316,Y,2.95947,159-70-8714,70.96577,"13236 Michael Center
West Johnhaven, WA 84771",Heather Wallace,Robinson and Sons,10/31/2020,F,AB+,"883 Miles Ports
Port Michaelborough, SD 14107",White
426,widowed,8.10837,84.13326,1.0,3.31053,6.84869,81.93677,42.54019,6.09762,5.79355,6.00601,5.29897,Y,2.48809,159-70-8714,53.71888,"13236 Michael Center
West Johnhaven, WA 84771",Heather Wallace,Robinson and Sons,10/31/2020,F,AB+,"883 Miles Ports
Port Michaelborough, SD 14107",White
427,nop,7.22165,87.49653,1.0,3.22558,6.14392,111.33221,29.33053,6.00945,6.34402,6.76229,6.72246,N,3.36187,159-70-8714,66.43938,"13236 Michael Center
West Johnhaven, WA 84771",Heather Wallace,Robinson and Sons,10/31/2020,F,AB+,"883 Miles Ports
Port Michaelborough, SD 14107",White
428,married,3.48407,32.30441,0.0,5.91296,5.44669,26.2501,52.65256,4.51504,4.20231,8.82984,4.27425,N,8.58689,597-95-1268,56.61645,"71254 Laura Glen
Lake Kimberly, SC 86840",Jessica Li,English and Sons,04/09/2011,F,A+,"3999 Adam Highway Apt. 566
Erichaven, IL 47458",White
429,divorced,7.58825,84.39153,1.0,4.59128,6.42281,69.94698,49.98918,7.40842,6.58061,6.60152,5.41733,Y,2.4481,597-95-1268,71.53105,"71254 Laura Glen
Lake Kimberly, SC 86840",Jessica Li,English and Sons,04/09/2011,F,A+,"3999 Adam Highway Apt. 566
Erichaven, IL 47458",White
430,married,8.21442,76.00846,1.0,3.98952,4.96541,51.2316,42.11575,8.04887,6.82968,6.11965,5.39732,N,1.32373,597-95-1268,57.24801,"71254 Laura Glen
Lake Kimberly, SC 86840",Jessica Li,English and Sons,04/09/2011,F,A+,"3999 Adam Highway Apt. 566
Erichaven, IL 47458",White
431,separated,6.45254,80.1289,0.0,3.74551,6.26595,83.71248,27.81296,4.28792,5.85454,6.37232,7.17884,Y,1.88732,125-90-6266,56.23527,"85689 Jerry Neck
Chanfort, NC 60036",Amber Patterson,Nunez Ltd,01/08/1912,F,B-,"USNS Combs
FPO AP 17751",Black
432,married,9.3551,72.2525,1.0,4.21422,6.52933,46.89211,37.94457,6.39753,5.51445,5.62807,6.2239,Y,1.77747,125-90-6266,74.0506,"85689 Jerry Neck
Chanfort, NC 60036",Amber Patterson,Nunez Ltd,01/08/1912,F,B-,"USNS Combs
FPO AP 17751",Black
433,separated,4.2024,75.38562,0.0,3.93343,6.34221,16.12251,27.26535,5.39209,5.45841,4.35495,4.51048,N,0.88608,125-90-6266,46.90357,"85689 Jerry Neck
Chanfort, NC 60036",Amber Patterson,Nunez Ltd,01/08/1912,F,B-,"USNS Combs
FPO AP 17751",Black
434,married,3.77738,60.90491,0.0,5.21082,6.8823,59.37575,52.04512,5.06738,5.04114,7.10422,5.21496,N,3.50037,125-90-6266,83.40373,"85689 Jerry Neck
Chanfort, NC 60036",Amber Patterson,Nunez Ltd,01/08/1912,F,B-,"USNS Combs
FPO AP 17751",Black
435,widowed,6.92224,85.71055,0.0,6.54165,5.60845,69.95858,49.49264,6.49982,5.53675,8.03993,6.67356,N,5.17767,231-68-1242,82.20417,"7024 Burns Island
Dawnfurt, IN 18885",Shirley Fisher,"Escobar, Valencia and Davis",03/08/1992,F,B-,"818 Justin Court Suite 590
East Amystad, WI 63415",White
436,nop,5.54065,48.38789,0.0,3.84485,6.9244,83.48855,63.55052,4.85615,4.72982,5.77477,5.69483,N,2.45237,231-68-1242,68.88162,"7024 Burns Island
Dawnfurt, IN 18885",Shirley Fisher,"Escobar, Valencia and Davis",03/08/1992,F,B-,"818 Justin Court Suite 590
East Amystad, WI 63415",White
437,single,4.74459,81.5863,0.0,4.97631,2.92294,102.25489,12.49284,4.70117,6.61455,7.62714,5.84968,N,2.77887,231-68-1242,66.89824,"7024 Burns Island
Dawnfurt, IN 18885",Shirley Fisher,"Escobar, Valencia and Davis",03/08/1992,F,B-,"818 Justin Court Suite 590
East Amystad, WI 63415",White
438,divorced,7.80836,75.72234,1.0,3.58673,7.21864,40.04777,41.54662,7.11408,6.50333,6.10511,6.41287,N,2.416,052-35-2710,61.50406,"USS Griffith
FPO AA 42684",Harold Reyes,"Drake, Scott and Bowman",04/01/1907,M,A-,"456 Nichole Greens Suite 748
South Hannah, DC 22717",White
439,nop,4.53166,79.34585,0.0,4.88888,5.12636,93.12164,3.52001,5.04796,7.14278,6.89536,6.55728,N,3.26188,052-35-2710,52.70686,"USS Griffith
FPO AA 42684",Harold Reyes,"Drake, Scott and Bowman",04/01/1907,M,A-,"456 Nichole Greens Suite 748
South Hannah, DC 22717",White
440,married,8.77672,72.47721,1.0,4.80418,5.57255,-4.11741,72.13312,3.14261,5.3211,5.32618,6.88125,N,2.3027,052-35-2710,56.76845,"USS Griffith
FPO AA 42684",Harold Reyes,"Drake, Scott and Bowman",04/01/1907,M,A-,"456 Nichole Greens Suite 748
South Hannah, DC 22717",White
441,single,6.67344,83.96073,1.0,4.34387,6.8374,64.30955,37.99498,6.9078,6.30317,7.28826,3.96622,N,3.16226,052-35-2710,71.17399,"USS Griffith
FPO AA 42684",Harold Reyes,"Drake, Scott and Bowman",04/01/1907,M,A-,"456 Nichole Greens Suite 748
South Hannah, DC 22717",White
442,divorced,5.90623,43.23577,0.0,3.91237,6.49547,96.22969,44.01039,4.76825,7.84157,6.14417,5.80789,Y,2.52831,204-82-3051,81.70436,"97513 Seth Highway Suite 986
Hernandezfort, IA 57339",Patricia Reid,"Edwards, Cook and Lawson",06/27/2019,F,B-,"901 Taylor Wall
North Lindsey, VA 47684",White
443,married,4.76281,70.15094,0.0,2.89262,6.16456,116.85525,51.63322,5.809,7.22833,3.6821,4.91858,Y,1.30082,204-82-3051,53.18234,"97513 Seth Highway Suite 986
Hernandezfort, IA 57339",Patricia Reid,"Edwards, Cook and Lawson",06/27/2019,F,B-,"901 Taylor Wall
North Lindsey, VA 47684",White
444,nop,3.5857,72.16378,0.0,3.54676,6.54719,97.95324,53.95922,5.95859,6.9313,4.31226,5.55738,N,1.3735,204-82-3051,64.74554,"97513 Seth Highway Suite 986
Hernandezfort, IA 57339",Patricia Reid,"Edwards, Cook and Lawson",06/27/2019,F,B-,"901 Taylor Wall
North Lindsey, VA 47684",White
445,married,4.9549,84.45389,0.0,2.03104,4.69207,68.46452,72.6108,5.62473,6.80509,3.19217,6.08917,Y,1.72642,097-53-2038,66.94225,"2412 Chang Trail Apt. 105
South Brittanymouth, ND 41149",Shannon Li,"Winters, Anderson and Bender",05/10/2000,F,AB+,"0055 Hale Ways Apt. 051
Lauriehaven, NE 47311",Asian
446,single,5.49543,85.22734,0.0,2.89559,6.05282,57.84249,42.00875,5.77275,5.64068,3.49175,7.14859,N,1.37787,097-53-2038,72.97491,"2412 Chang Trail Apt. 105
South Brittanymouth, ND 41149",Shannon Li,"Winters, Anderson and Bender",05/10/2000,F,AB+,"0055 Hale Ways Apt. 051
Lauriehaven, NE 47311",Asian
447,divorced,7.72031,57.61089,1.0,5.34342,6.72353,95.19424,71.62337,8.85298,5.10638,6.37378,6.47975,N,1.79972,097-53-2038,62.43241,"2412 Chang Trail Apt. 105
South Brittanymouth, ND 41149",Shannon Li,"Winters, Anderson and Bender",05/10/2000,F,AB+,"0055 Hale Ways Apt. 051
Lauriehaven, NE 47311",Asian
448,nop,4.03615,46.30811,0.0,5.21588,7.04728,-19.77976,33.84823,4.90797,4.74004,7.61368,7.22029,Y,3.80847,097-53-2038,76.50201,"2412 Chang Trail Apt. 105
South Brittanymouth, ND 41149",Shannon Li,"Winters, Anderson and Bender",05/10/2000,F,AB+,"0055 Hale Ways Apt. 051
Lauriehaven, NE 47311",Asian
449,nop,10.07615,63.24332,1.0,4.54901,5.44933,53.73212,35.61292,6.97885,5.0015,5.0576,5.02226,N,1.92004,245-90-3937,67.63064,"9173 Lori Passage Suite 825
Gomezside, MT 95201",Alexis Thomas,Stewart Group,12/15/1926,F,A+,"80039 Gina Glen Apt. 903
South Shelby, VA 05237",Asian
450,single,4.23909,83.86037,0.0,7.38662,6.38277,74.43719,26.99075,3.95302,6.30717,6.29842,5.73873,N,2.72241,245-90-3937,63.41265,"9173 Lori Passage Suite 825
Gomezside, MT 95201",Alexis Thomas,Stewart Group,12/15/1926,F,A+,"80039 Gina Glen Apt. 903
South Shelby, VA 05237",Asian
451,widowed,6.35962,92.98298,0.0,3.19248,4.97238,80.63957,35.91677,5.31864,6.18177,4.50874,6.94735,Y,1.30169,245-90-3937,67.29605,"9173 Lori Passage Suite 825
Gomezside, MT 95201",Alexis Thomas,Stewart Group,12/15/1926,F,A+,"80039 Gina Glen Apt. 903
South Shelby, VA 05237",Asian
452,married,3.60622,16.20041,0.0,5.27425,6.94066,71.05718,57.94527,4.89062,3.99197,7.40004,7.17224,Y,3.13871,113-42-4778,56.52613,"0382 Jenkins Ferry
South Saraport, OR 76115",Andre Rios,Cruz-Reed,01/14/2020,M,AB-,"9500 Roy View Apt. 983
Port Bradleyport, IL 40972",White
453,widowed,7.89187,67.12565,1.0,5.534,5.12455,103.11102,49.5142,4.57062,5.19666,6.99316,6.85319,Y,3.44609,113-42-4778,63.60298,"0382 Jenkins Ferry
South Saraport, OR 76115",Andre Rios,Cruz-Reed,01/14/2020,M,AB-,"9500 Roy View Apt. 983
Port Bradleyport, IL 40972",White
454,nop,5.06598,72.69085,1.0,7.37263,5.85469,22.99677,46.01674,8.94125,5.35787,9.11805,6.49708,Y,11.01214,113-42-4778,91.34556,"0382 Jenkins Ferry
South Saraport, OR 76115",Andre Rios,Cruz-Reed,01/14/2020,M,AB-,"9500 Roy View Apt. 983
Port Bradleyport, IL 40972",White
455,widowed,6.51911,87.33504,0.0,5.41422,5.92491,120.13378,59.60363,6.18983,5.79736,5.05376,5.24846,Y,2.88222,113-42-4778,69.03208,"0382 Jenkins Ferry
South Saraport, OR 76115",Andre Rios,Cruz-Reed,01/14/2020,M,AB-,"9500 Roy View Apt. 983
Port Bradleyport, IL 40972",White
456,separated,4.75603,86.97334,0.0,5.62383,5.21237,48.75496,32.96119,5.64056,6.80503,5.26304,5.58358,Y,2.14984,447-78-2844,54.64396,"9498 Jenkins Dam Suite 828
Lake Bethchester, TN 88098",Robyn Martinez,King-Bishop,05/06/1914,F,O+,"690 Garza Landing
Marktown, NC 92426",Black
457,divorced,9.19682,49.97256,1.0,6.22188,5.77446,93.15664,52.20433,2.87324,4.67751,8.39338,4.14047,N,7.94879,447-78-2844,62.64447,"9498 Jenkins Dam Suite 828
Lake Bethchester, TN 88098",Robyn Martinez,King-Bishop,05/06/1914,F,O+,"690 Garza Landing
Marktown, NC 92426",Black
458,separated,5.6022,59.56989,0.0,4.4945,6.18629,75.33236,24.53637,4.3248,7.43175,7.59739,5.34831,N,3.88299,447-78-2844,74.66054,"9498 Jenkins Dam Suite 828
Lake Bethchester, TN 88098",Robyn Martinez,King-Bishop,05/06/1914,F,O+,"690 Garza Landing
Marktown, NC 92426",Black
459,divorced,6.83028,77.582,1.0,3.35638,5.3046,119.90918,49.2224,6.41822,6.91699,6.91172,6.13589,Y,3.5658,190-81-9230,46.45792,"8152 Wallace River Suite 473
South Nicholasberg, MT 55549",Alicia Cox,"Wagner, Rodriguez and Johnson",10/30/2020,F,O-,"60612 Kelly Via Apt. 775
Georgeshire, MS 62449",White
460,separated,5.39238,68.81608,1.0,6.61053,4.48347,25.46733,46.36163,8.90104,5.22993,8.77743,4.86882,N,8.804,190-81-9230,55.36313,"8152 Wallace River Suite 473
South Nicholasberg, MT 55549",Alicia Cox,"Wagner, Rodriguez and Johnson",10/30/2020,F,O-,"60612 Kelly Via Apt. 775
Georgeshire, MS 62449",White
461,married,6.74936,69.73253,1.0,5.19769,6.49027,80.69005,47.83613,7.95908,5.33122,7.19625,7.01683,N,3.69882,190-81-9230,63.67724,"8152 Wallace River Suite 473
South Nicholasberg, MT 55549",Alicia Cox,"Wagner, Rodriguez and Johnson",10/30/2020,F,O-,"60612 Kelly Via Apt. 775
Georgeshire, MS 62449",White
462,married,2.28973,86.09895,0.0,6.05134,6.88395,21.28415,60.98991,5.30081,6.25488,7.89342,6.97971,N,4.89436,682-42-1152,45.9507,"110 Jennifer Drive
North Ryan, SD 60830",Kelly Sullivan,Roth PLC,09/05/1964,F,O+,"5434 Timothy Centers
Lake Amanda, MD 73205",Black
463,married,7.08999,46.46339,1.0,3.29996,4.37205,93.1595,52.92548,8.53136,4.66032,6.14494,6.51428,N,2.53039,682-42-1152,65.19027,"110 Jennifer Drive
North Ryan, SD 60830",Kelly Sullivan,Roth PLC,09/05/1964,F,O+,"5434 Timothy Centers
Lake Amanda, MD 73205",Black
464,married,5.92874,67.47251,1.0,3.34665,3.99883,73.55831,66.18267,5.0925,7.20332,7.63043,6.0306,Y,4.04767,682-42-1152,68.36419,"110 Jennifer Drive
North Ryan, SD 60830",Kelly Sullivan,Roth PLC,09/05/1964,F,O+,"5434 Timothy Centers
Lake Amanda, MD 73205",Black
465,separated,5.92468,84.45641,0.0,4.15784,4.03817,129.11245,43.73452,4.47554,6.54787,7.14098,6.00883,N,3.29312,562-80-9913,71.20037,"889 Brock Lodge Apt. 449
New Theodorefurt, FL 25398",Roberto Shields,"Baker, Kline and Mcguire",01/30/1991,M,B+,"500 Simpson Rest Suite 335
Margaretmouth, TN 13843",Asian
466,divorced,4.84532,46.7683,0.0,4.60596,5.23898,100.30856,13.56716,5.18221,4.72018,6.41844,8.39207,Y,3.28371,562-80-9913,70.7948,"889 Brock Lodge Apt. 449
New Theodorefurt, FL 25398",Roberto Shields,"Baker, Kline and Mcguire",01/30/1991,M,B+,"500 Simpson Rest Suite 335
Margaretmouth, TN 13843",Asian
467,nop,7.4196,87.8768,1.0,4.20628,5.47292,40.03389,45.76561,3.87584,6.46682,7.17717,6.10954,N,3.50807,562-80-9913,56.80149,"889 Brock Lodge Apt. 449
New Theodorefurt, FL 25398",Roberto Shields,"Baker, Kline and Mcguire",01/30/1991,M,B+,"500 Simpson Rest Suite 335
Margaretmouth, TN 13843",Asian
468,divorced,7.13087,56.226,1.0,3.77486,6.95592,44.89432,26.80778,6.83094,7.56432,6.76269,6.26548,Y,3.38351,562-80-9913,51.42968,"889 Brock Lodge Apt. 449
New Theodorefurt, FL 25398",Roberto Shields,"Baker, Kline and Mcguire",01/30/1991,M,B+,"500 Simpson Rest Suite 335
Margaretmouth, TN 13843",Asian
469,divorced,6.05274,81.06466,1.0,4.98033,5.58429,80.99808,65.02858,7.83674,6.74045,8.02764,5.93613,N,4.85901,842-90-0537,74.20052,"19794 Dominique Mountains Apt. 362
East Sarahland, DC 81859",Carrie Martinez,Schmidt Inc,06/06/2002,F,O+,"1901 Michael Forge
Arnoldside, MA 43352",Black
470,nop,7.99969,63.35854,1.0,4.88406,7.19656,70.99612,40.20186,3.68843,5.06558,7.02478,6.90626,Y,2.56609,842-90-0537,55.21912,"19794 Dominique Mountains Apt. 362
East Sarahland, DC 81859",Carrie Martinez,Schmidt Inc,06/06/2002,F,O+,"1901 Michael Forge
Arnoldside, MA 43352",Black
471,nop,5.50593,74.14051,0.0,4.39678,5.64944,134.48881,17.86068,4.8176,7.0051,6.94529,6.02046,N,3.70501,842-90-0537,53.15946,"19794 Dominique Mountains Apt. 362
East Sarahland, DC 81859",Carrie Martinez,Schmidt Inc,06/06/2002,F,O+,"1901 Michael Forge
Arnoldside, MA 43352",Black
472,single,7.51387,55.82261,1.0,3.92069,4.24283,50.68922,52.71947,3.83867,7.68213,6.54874,8.19149,N,3.06688,454-47-3103,64.49193,"6098 Cynthia Junctions Apt. 106
Lake Davidberg, VT 50225",Justin Hernandez,Medina PLC,06/23/2002,M,A-,"637 Thomas Avenue
Lake Andrewfort, SC 04826",White
473,divorced,4.24323,89.5246,0.0,5.28722,4.59201,3.47052,33.16236,4.79719,6.24362,5.19449,7.35596,Y,2.44769,454-47-3103,55.56902,"6098 Cynthia Junctions Apt. 106
Lake Davidberg, VT 50225",Justin Hernandez,Medina PLC,06/23/2002,M,A-,"637 Thomas Avenue
Lake Andrewfort, SC 04826",White
474,separated,7.85675,54.27166,1.0,4.05337,5.47964,46.99195,55.07579,5.80953,4.852,6.54427,5.17727,N,3.30316,454-47-3103,79.28929,"6098 Cynthia Junctions Apt. 106
Lake Davidberg, VT 50225",Justin Hernandez,Medina PLC,06/23/2002,M,A-,"637 Thomas Avenue
Lake Andrewfort, SC 04826",White
475,single,8.13079,65.97879,1.0,6.07086,7.75802,68.07377,48.40703,4.87031,7.28332,6.30124,6.22941,N,1.63418,622-72-3639,55.18397,"010 Donna Islands Apt. 144
Coxberg, MI 64110",Dorothy Russell,"Carr, Callahan and Chang",06/13/2014,F,O+,"3522 Spencer Walk Suite 947
Kevinstad, WY 64053",Black
476,single,4.7521,44.14416,0.0,5.40146,4.37281,9.89817,49.29423,7.46453,8.18553,5.43324,6.7665,N,1.65531,622-72-3639,68.92326,"010 Donna Islands Apt. 144
Coxberg, MI 64110",Dorothy Russell,"Carr, Callahan and Chang",06/13/2014,F,O+,"3522 Spencer Walk Suite 947
Kevinstad, WY 64053",Black
477,widowed,4.52432,47.36673,0.0,6.04328,6.17401,62.16655,44.74166,5.01243,4.64088,5.64186,7.11981,Y,2.15078,816-75-3091,72.35412,"0969 Harvey Ridge Apt. 662
Port Dawn, WA 85167",Katie Herrera,Neal LLC,09/16/2016,F,O+,"71563 Mark Circle
Robinsonton, CO 86704",Black
478,separated,4.44174,59.42332,0.0,3.27508,4.8592,69.84264,49.30736,3.60909,5.07335,3.82013,6.62985,Y,1.64708,816-75-3091,78.50376,"0969 Harvey Ridge Apt. 662
Port Dawn, WA 85167",Katie Herrera,Neal LLC,09/16/2016,F,O+,"71563 Mark Circle
Robinsonton, CO 86704",Black
479,single,3.73261,23.54362,0.0,4.22453,6.60562,73.81337,53.7319,3.82252,4.08134,4.57116,6.34304,N,1.57539,816-75-3091,55.39683,"0969 Harvey Ridge Apt. 662
Port Dawn, WA 85167",Katie Herrera,Neal LLC,09/16/2016,F,O+,"71563 Mark Circle
Robinsonton, CO 86704",Black
480,separated,4.398,79.9224,0.0,2.66076,5.05944,29.73803,50.6505,4.47065,5.55013,3.50826,6.32689,N,1.69783,351-10-5136,71.78414,"57605 Ortega View Suite 100
North Michaelfurt, MN 34295",Yolanda Wilson,"Howell, Smith and Orr",09/24/1958,F,A+,"842 Teresa Mews Apt. 002
Patriciamouth, VT 12502",Black
481,married,7.36825,82.24307,1.0,7.62858,5.84547,77.71476,59.95005,7.43341,6.46228,8.20801,4.24045,Y,6.13681,351-10-5136,58.05869,"57605 Ortega View Suite 100
North Michaelfurt, MN 34295",Yolanda Wilson,"Howell, Smith and Orr",09/24/1958,F,A+,"842 Teresa Mews Apt. 002
Patriciamouth, VT 12502",Black
482,single,6.87483,89.22687,1.0,3.42249,6.67942,112.95025,64.25159,4.16071,6.03935,7.28764,6.66903,Y,3.01449,351-10-5136,41.86585,"57605 Ortega View Suite 100
North Michaelfurt, MN 34295",Yolanda Wilson,"Howell, Smith and Orr",09/24/1958,F,A+,"842 Teresa Mews Apt. 002
Patriciamouth, VT 12502",Black
483,married,4.84395,53.95267,0.0,4.48885,7.13825,89.60491,70.48616,5.22061,4.85806,6.57476,5.25506,N,2.77446,246-65-6263,64.51594,"909 Lowe Road Apt. 372
East Travis, VA 35606",Amy Hamilton,Rich-Henry,07/25/1958,F,A+,"2820 Baker Harbor
Port Ericaberg, MO 43151",White
484,nop,7.99318,85.92401,1.0,5.50379,6.03796,48.8859,56.96181,8.63475,6.52944,6.90199,5.85456,N,3.38213,246-65-6263,58.20572,"909 Lowe Road Apt. 372
East Travis, VA 35606",Amy Hamilton,Rich-Henry,07/25/1958,F,A+,"2820 Baker Harbor
Port Ericaberg, MO 43151",White
485,married,7.55273,47.15044,1.0,4.31171,7.13073,73.41385,57.11501,5.73991,4.63259,6.98992,5.95926,Y,4.42322,246-65-6263,76.63455,"909 Lowe Road Apt. 372
East Travis, VA 35606",Amy Hamilton,Rich-Henry,07/25/1958,F,A+,"2820 Baker Harbor
Port Ericaberg, MO 43151",White
486,single,4.33224,84.79168,0.0,5.23948,5.62768,41.0024,51.7861,4.75553,6.34567,7.75214,5.14497,Y,3.81895,246-65-6263,63.45912,"909 Lowe Road Apt. 372
East Travis, VA 35606",Amy Hamilton,Rich-Henry,07/25/1958,F,A+,"2820 Baker Harbor
Port Ericaberg, MO 43151",White
487,divorced,5.36206,83.57543,0.0,2.30542,5.1152,60.95543,42.43614,5.50239,6.3917,3.0071,4.51955,Y,1.55011,855-16-6155,58.06993,"40332 Stacie Island Suite 613
Port Damon, SD 16715",Stephen Anderson,"Davis, Manning and Gallagher",12/15/1964,M,AB+,"21234 Cooper Street Suite 979
Williamstown, NV 30619",White
488,divorced,5.41657,88.20254,0.0,3.94738,6.15212,63.34949,25.71006,5.3416,6.24915,4.27698,9.13752,N,1.99005,855-16-6155,77.94955,"40332 Stacie Island Suite 613
Port Damon, SD 16715",Stephen Anderson,"Davis, Manning and Gallagher",12/15/1964,M,AB+,"21234 Cooper Street Suite 979
Williamstown, NV 30619",White
489,married,4.93424,46.95675,1.0,3.4622,6.44983,51.74897,42.83609,6.28423,4.85037,7.76095,5.29267,N,5.17146,855-16-6155,63.07304,"40332 Stacie Island Suite 613
Port Damon, SD 16715",Stephen Anderson,"Davis, Manning and Gallagher",12/15/1964,M,AB+,"21234 Cooper Street Suite 979
Williamstown, NV 30619",White
490,married,6.89727,82.11332,1.0,5.16541,4.99214,71.10545,64.79567,5.56838,6.3285,7.33218,3.4329,N,2.82899,295-06-5706,68.94827,"88549 Richard Green
Port Ambermouth, IA 18418",Jacob Ellis,Garcia-Butler,12/12/1967,M,O-,"1520 Valerie Hills Apt. 951
Schroedermouth, MS 52128",White
491,nop,8.44876,75.5349,1.0,5.73308,5.98703,104.93345,27.86183,5.12293,5.67782,6.82674,5.98364,Y,2.659,295-06-5706,61.46711,"88549 Richard Green
Port Ambermouth, IA 18418",Jacob Ellis,Garcia-Butler,12/12/1967,M,O-,"1520 Valerie Hills Apt. 951
Schroedermouth, MS 52128",White
492,single,3.9037,53.76483,0.0,5.04864,7.224,42.90222,55.25866,5.07368,7.63616,7.04665,7.88112,Y,3.28711,295-06-5706,57.16908,"88549 Richard Green
Port Ambermouth, IA 18418",Jacob Ellis,Garcia-Butler,12/12/1967,M,O-,"1520 Valerie Hills Apt. 951
Schroedermouth, MS 52128",White
493,married,4.41295,35.15784,0.0,2.98881,6.58545,89.58288,62.51578,3.2553,4.53389,3.62111,4.90098,Y,2.29383,535-96-3575,64.69619,"077 Elliott Ridges
Wongberg, WV 45835",Stephen Little,Davidson-Martin,06/02/1945,M,A+,"USNS Strickland
FPO AP 73762",White
494,divorced,9.44716,26.44568,1.0,4.76419,5.83334,102.25377,34.93045,8.22833,3.95128,5.34484,6.42364,Y,2.62926,535-96-3575,69.561,"077 Elliott Ridges
Wongberg, WV 45835",Stephen Little,Davidson-Martin,06/02/1945,M,A+,"USNS Strickland
FPO AP 73762",White
495,divorced,8.16465,72.18783,1.0,4.2174,6.48726,83.35627,67.59108,2.68455,5.24401,7.19652,5.96798,N,3.73421,535-96-3575,54.79603,"077 Elliott Ridges
Wongberg, WV 45835",Stephen Little,Davidson-Martin,06/02/1945,M,A+,"USNS Strickland
FPO AP 73762",White
496,widowed,5.87267,60.57121,1.0,3.66086,4.44244,59.74851,32.8082,6.72064,7.38287,7.94309,6.76026,Y,4.56192,870-55-9389,71.52242,"60651 Gonzales Road Suite 946
Floresmouth, NE 39886",Brandon Waters,Hall Inc,01/18/1920,M,A-,"154 Moon Viaduct Apt. 507
Howardtown, SD 97682",White
497,single,5.82379,77.15008,1.0,7.99734,6.79319,34.05344,45.67561,8.67111,6.60306,9.09036,7.31175,Y,11.83068,870-55-9389,48.2113,"60651 Gonzales Road Suite 946
Floresmouth, NE 39886",Brandon Waters,Hall Inc,01/18/1920,M,A-,"154 Moon Viaduct Apt. 507
Howardtown, SD 97682",White
498,single,8.29424,72.14532,1.0,5.88018,7.50753,42.79759,55.60679,4.36645,5.23997,6.73692,5.1776,N,2.92105,870-55-9389,70.68547,"60651 Gonzales Road Suite 946
Floresmouth, NE 39886",Brandon Waters,Hall Inc,01/18/1920,M,A-,"154 Moon Viaduct Apt. 507
Howardtown, SD 97682",White
499,separated,3.87032,85.68102,0.0,5.71963,7.14701,24.12967,27.61627,4.27227,5.88058,5.45055,6.24502,N,2.41538,870-55-9389,56.78996,"60651 Gonzales Road Suite 946
Floresmouth, NE 39886",Brandon Waters,Hall Inc,01/18/1920,M,A-,"154 Moon Viaduct Apt. 507
Howardtown, SD 97682",White
500,divorced,8.81219,83.60918,1.0,6.88393,6.8488,47.49149,57.11193,4.80109,6.22459,4.92878,5.02084,Y,1.14126,320-24-1510,67.23137,"6292 Myers Wells
New Jocelynborough, ND 54643",Joseph Anderson,Jones PLC,09/11/1959,M,AB-,"233 Price Hill Apt. 047
South Craig, UT 89536",Black
501,single,6.47913,58.85761,1.0,5.39131,4.95298,79.98546,36.9722,6.41929,7.46967,8.01079,4.15738,Y,4.1582,320-24-1510,69.86167,"6292 Myers Wells
New Jocelynborough, ND 54643",Joseph Anderson,Jones PLC,09/11/1959,M,AB-,"233 Price Hill Apt. 047
South Craig, UT 89536",Black
502,separated,5.30634,84.41825,1.0,6.1993,5.8589,80.3415,58.79482,6.95941,5.60658,9.08245,5.98709,N,11.72995,251-63-5591,81.55543,"016 Mccoy Ramp Suite 324
East Brendamouth, CO 03871",Gabriel Robinson,"Griffin, Willis and Henry",02/13/1922,M,O-,"1908 Booker Plain
New Katherineberg, KY 08797",White
503,nop,4.76052,26.3797,1.0,5.05467,6.59115,26.90793,65.44071,3.9878,4.07289,4.858,4.75384,N,1.84691,251-63-5591,50.61096,"016 Mccoy Ramp Suite 324
East Brendamouth, CO 03871",Gabriel Robinson,"Griffin, Willis and Henry",02/13/1922,M,O-,"1908 Booker Plain
New Katherineberg, KY 08797",White
504,nop,8.88973,67.04898,1.0,3.71561,7.66859,60.79882,47.97912,2.13537,5.35299,6.0756,5.00586,N,2.41792,251-63-5591,52.76056,"016 Mccoy Ramp Suite 324
East Brendamouth, CO 03871",Gabriel Robinson,"Griffin, Willis and Henry",02/13/1922,M,O-,"1908 Booker Plain
New Katherineberg, KY 08797",White
505,separated,6.34348,62.14187,1.0,5.07632,6.32139,121.85715,27.26663,7.79704,7.29869,7.8568,5.1226,N,4.80817,020-36-8252,73.70621,"30549 Gibson Knoll Suite 422
Ericaland, OK 21822",Danielle Howard,"Ball, Gutierrez and Bennett",01/10/1946,F,A+,"45327 Peterson Station Apt. 763
New Christine, SC 91383",Black
506,nop,6.52095,70.07701,1.0,3.91106,6.68549,105.44963,41.19576,5.49656,5.40857,6.17066,5.91888,N,2.26037,020-36-8252,71.71413,"30549 Gibson Knoll Suite 422
Ericaland, OK 21822",Danielle Howard,"Ball, Gutierrez and Bennett",01/10/1946,F,A+,"45327 Peterson Station Apt. 763
New Christine, SC 91383",Black
